 all D ~ (p/mc)^2/t (sec^-1)
 E(MeV)=  0.1000
  alpha0   Daa         Dap         Dpp
  18.00  0.3781E-04  0.6966E-05  0.1465E-05
  19.00  0.3831E-04  0.7403E-05  0.1642E-05
  20.00  0.3883E-04  0.7848E-05  0.1835E-05
  21.00  0.3937E-04  0.8296E-05  0.2038E-05
  22.00  0.3993E-04  0.8753E-05  0.2244E-05
  23.00  0.4051E-04  0.9215E-05  0.2456E-05
  24.00  0.4111E-04  0.9678E-05  0.2680E-05
  25.00  0.4173E-04  0.1015E-04  0.2914E-05
  26.00  0.4237E-04  0.1061E-04  0.3163E-05
  27.00  0.4304E-04  0.1109E-04  0.3420E-05
  28.00  0.4373E-04  0.1156E-04  0.3684E-05
  29.00  0.4444E-04  0.1203E-04  0.3960E-05
  30.00  0.4518E-04  0.1251E-04  0.4243E-05
  31.00  0.4594E-04  0.1298E-04  0.4533E-05
  32.00  0.4673E-04  0.1344E-04  0.4831E-05
  33.00  0.4754E-04  0.1390E-04  0.5134E-05
  34.00  0.4837E-04  0.1436E-04  0.5442E-05
  35.00  0.4923E-04  0.1481E-04  0.5754E-05
  36.00  0.5012E-04  0.1525E-04  0.6066E-05
  37.00  0.5105E-04  0.1568E-04  0.6380E-05
  38.00  0.5199E-04  0.1610E-04  0.6685E-05
  39.00  0.5298E-04  0.1650E-04  0.7009E-05
  40.00  0.5397E-04  0.1691E-04  0.7297E-05
  41.00  0.5499E-04  0.1732E-04  0.7567E-05
  42.00  0.5610E-04  0.1765E-04  0.7903E-05
  43.00  0.5716E-04  0.1805E-04  0.8140E-05
  44.00  0.5830E-04  0.1838E-04  0.8418E-05
  45.00  0.5942E-04  0.1874E-04  0.8642E-05
  46.00  0.6057E-04  0.1905E-04  0.8895E-05
  47.00  0.6173E-04  0.1930E-04  0.9147E-05
  48.00  0.6278E-04  0.1957E-04  0.9334E-05
  49.00  0.6367E-04  0.1984E-04  0.9452E-05
  50.00  0.6462E-04  0.1981E-04  0.9721E-05
  51.00  0.6536E-04  0.1963E-04  0.9942E-05
  52.00  0.6624E-04  0.1891E-04  0.1038E-04
  53.00  0.6470E-04  0.1942E-04  0.9537E-05
  54.00  0.6455E-04  0.1809E-04  0.9672E-05
  55.00  0.6298E-04  0.1694E-04  0.9094E-05
  56.00  0.6084E-04  0.1542E-04  0.8135E-05
  57.00  0.5706E-04  0.1466E-04  0.6129E-05
  58.00  0.5585E-04  0.1304E-04  0.4727E-05
  59.00  0.5683E-04  0.1236E-04  0.4047E-05
  60.00  0.5755E-04  0.1287E-04  0.3949E-05
  61.00  0.5930E-04  0.1293E-04  0.4151E-05
  62.00  0.6025E-04  0.1346E-04  0.4089E-05
  63.00  0.6189E-04  0.1362E-04  0.4218E-05
  64.00  0.6380E-04  0.1365E-04  0.4406E-05
  65.00  0.6514E-04  0.1391E-04  0.4453E-05
  66.00  0.6665E-04  0.1401E-04  0.4547E-05
  67.00  0.6733E-04  0.1431E-04  0.4504E-05
  68.00  0.7092E-04  0.1325E-04  0.4954E-05
  69.00  0.6886E-04  0.1438E-04  0.4488E-05
  70.00  0.6993E-04  0.1416E-04  0.4564E-05
  71.00  0.7110E-04  0.1364E-04  0.4664E-05
  72.00  0.7078E-04  0.1332E-04  0.4598E-05
  73.00  0.7104E-04  0.1246E-04  0.4601E-05
  74.00  0.7832E-04  0.9236E-05  0.5164E-05
  75.00  0.7618E-04  0.8478E-05  0.4859E-05
  76.00  0.8881E-04  0.3635E-05  0.5466E-05
  77.00  0.7699E-04  0.4643E-05  0.4478E-05
  78.00  0.5045E-04  0.8175E-05  0.2947E-05
  79.00  0.3824E-04  0.7924E-05  0.2270E-05
  80.00  0.2958E-04  0.6715E-05  0.1778E-05
  81.00  0.2227E-04  0.5247E-05  0.1346E-05
  82.00  0.1589E-04  0.3803E-05  0.9606E-06
  83.00  0.1049E-04  0.2531E-05  0.6319E-06
  84.00  0.6250E-05  0.1518E-05  0.3737E-06
  85.00  0.3306E-05  0.7930E-06  0.1924E-06
  86.00  0.1484E-05  0.3452E-06  0.8109E-07
  87.00  0.4899E-06  0.1038E-06  0.2222E-07
  88.00  0.4297E-07  0.6596E-08  0.1015E-08
  89.00  0.0000E+00  0.0000E+00  0.0000E+00
 E(MeV)=  0.1503
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3239E-04  0.1778E-05  0.1078E-06
   6.00  0.3269E-04  0.2150E-05  0.1564E-06
   7.00  0.3299E-04  0.2527E-05  0.2144E-06
   8.00  0.3330E-04  0.2910E-05  0.2820E-06
   9.00  0.3363E-04  0.3299E-05  0.3594E-06
